,movie,location,year,year_group,latitude,longitude
534,Twelve (2010),"Central Park Zoo, Manhattan.",2010,2010s,40.7685787,-73.9703305
535,Twelve (2010),"Lexington Avenue and East 70th Street, Manhattan.",2010,2010s,40.769113,-73.963161
536,Twelve (2010),"Sicaffe Cafe, 964 Lexington Avenue and East 70th Street, Manhattan.",2010,2010s,40.7675122,-73.9593709
537,Twelve (2010),"Church, 160 Central Park West and West 76th Street, Manhattan.",2010,2010s,40.7812025,-73.9797543
538,Twelve (2010),"Townhouse, 34 West 10th Street and 5th Avenue, Manhattan.",2010,2010s,40.774734,-73.9653844
539,27 Dresses (2008),"Madison Avenue and East 50th Street, Manhattan.",2008,2000s,40.7578684,-73.9756224
540,27 Dresses (2008),"New York Palace Hotel, 455 Madison Avenue and East 51st Street, Manhattan.",2008,2000s,40.7562723,-73.9698798
541,27 Dresses (2008),"25 Washington Street and Plymouth Street, Brooklyn.",2008,2000s,40.7038543,-73.9895342
542,27 Dresses (2008),"Kevin's Workplace, NYJ Office, East 45th Street & Madison Avenue, Manhattan.",2008,2000s,40.7773054,-73.9614006
543,27 Dresses (2008),"Jane's Workplace, Gansevoort Street and Greenwich Street, Manhattan.",2008,2000s,40.7227909,-74.0096582
544,27 Dresses (2008),"Cherry Hill, Central Park, Manhattan.",2008,2000s,40.7748462,-73.9727014
545,27 Dresses (2008),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2008,2000s,40.7787287,-73.9819095
546,27 Dresses (2008),"Loeb Boathouse, Central Park, Manhattan.",2008,2000s,40.7711329,-73.9741874
547,27 Dresses (2008),"Jane's Apartment, 310 East 9th Street (btw 1st & 2nd Avenue) Manhattan.",2008,2000s,40.7643734,-73.9616091
548,25th Hour (2002),Carl Schurz Park (East River) Manhattan.,2002,2000s,40.7830603,-73.9712488
549,25th Hour (2002),"Carl Schurz Park, East End Avenue and East 86th Street, Manhattan.",2002,2000s,40.7751302,-73.9436973
550,25th Hour (2002),"Ground Zero, Financial District, Manhattan.",2002,2000s,40.7119878,-74.0104079
551,25th Hour (2002),"Washington Street and Water Street, Brooklyn.",2002,2000s,40.7031992,-73.9895833
552,28 Days (2000),"Crosby Street and Prince Street, Manhattan.",2000,2000s,40.7238833,-73.9969553
553,28 Days (2000),"Lafeyette Street and Prince Street, Manhattan.",2000,2000s,40.7236669,-73.9964723
554,28 Days (2000),Park Avenue (near to Grand Central Terminal) Manhattan.,2000,2000s,40.7830603,-73.9712488
555,28 Days (2000),"Gwen's Apartment, 104 Crosby Street and Prince Street, Manhattan.",2000,2000s,40.724628,-73.9986114
556,Turn the River (2007),"East 98th Street and 5th Avenue, Manhattan.",2007,2000s,40.7891959,-73.9548171
557,Spread (2009),"Mayor's Office, 51 Chambers Street and Centre Street, Manhattan.",2009,2000s,40.7163828,-74.0012118
558,Spread (2009),"Battery Park, Manhattan.",2009,2000s,40.7032775,-74.0170279
559,Spread (2009),"New York County Supreme Court, 60 Centre Street, Financial, Manhattan.",2009,2000s,40.7830603,-73.9712488
560,Spread (2009),"News Building, 220 East 42nd Street (btw 2nd and 3rd Avenue) Manhattan.",2009,2000s,40.7684404,-73.9615733
561,Spread (2009),"Queensboro Bridge, East 59th Street (btw Manhattan and Queens).",2009,2000s,40.7282239,-73.7948516
562,Trust the Man (2005),"Broadway and West 68th Street, Manhattan.",2005,2000s,40.7754414,-73.982069
563,Trust the Man (2005),"Barneys, 660 Madison Avenue and East 61st Street, Manhattan.",2005,2000s,40.7628086,-73.965688
564,Trust the Man (2005),"Serendipity III, 225 East 60th Street (btw 2nd and 3rd Avenue) Manhattan.",2005,2000s,40.7684404,-73.9615733
565,Trust the Man (2005),"Pastis Restaurant, 9 Little West 12th Street and 9th Avenue, Manhattan.",2005,2000s,40.7692123,-73.9847724
566,Trust the Man (2005),"Subway Station, Bleecker Street and Mulberry Street, Manhattan.",2005,2000s,40.7193269,-73.9973174
567,Trust the Man (2005),"Tartine Cafe, 253 West 11th Street and West 4th Street, Manhattan.",2005,2000s,40.7336421,-74.0026047
568,Trust the Man (2005),"Sardi's Restaurant, 234 West 44th Street and 7th Avenue, Manhattan.",2005,2000s,40.73658,-74.0011456
569,Trust the Man (2005),"Lincoln Center, Columbus Avenue (btw West 63rd and 64th Street) Manhattan.",2005,2000s,40.7646896,-73.9643068
570,Trust the Man (2005),"Malatesta Trattoria,‎ 649 Washington Street and Christopher Street, Manhattan.",2005,2000s,40.7333734,-74.0043918
571,Trust the Man (2005),"Great Jones Street and Lafayette Street, Manhattan.",2005,2000s,40.7272842,-73.993628
572,Trust the Man (2005),"Marquee Nightclub, 289 10th Avenue and West 26th Street, Manhattan.",2005,2000s,40.7475439,-73.9979046
573,Trust the Man (2005),"Shop, 163 Mercer Street (btw Houston Street & Prince Street) Manhattan.",2005,2000s,40.724628,-73.9986114
574,Trust the Man (2005),"West 21st Street and 7th Avenue, Manhattan.",2005,2000s,40.7428131,-73.9965997
575,True Story (2015),"Subway, 8th Avenue and West 41st Street, Manhattan.",2015,2010s,40.7579416,-73.9932244
576,True Story (2015),"New York Times, 620 8th Avenue and West 41st Street, Manhattan.",2015,2010s,40.756567,-73.990276
577,True Story (2015),"Rizzoli Bookstore, 712 5th Avenue and East 56th Street, Manhattan.",2015,2010s,40.7596085,-73.9680746
578,True Believer (1989),"Criminal Courts Building, 100 Centre Street, Manhattan.",1989,1980s,40.7159516,-74.0008772
579,True Believer (1989),"Subway, 7th Avenue South and Christopher Street, Manhattan.",1989,1980s,40.7333734,-74.0043918
580,True Believer (1989),"Peninsula Hotel, 700 5th Avenue and West 55th Street, Manhattan.",1989,1980s,40.766016,-73.9852394
581,True Believer (1989),"Subway,  7th Avenue and Christopher Street, Manhattan.",1989,1980s,40.7333734,-74.0043918
582,True Believer (1989),"Pell Street and Doyers Street, Chinatown, Manhattan.",1989,1980s,40.7148064,-73.9980331
583,True Believer (1989),"Eddie Dodd's Office, 110 7th Avenue and Christopher Street, Manhattan.",1989,1980s,40.7333734,-74.0043918
584,True Believer (1989),"New York County Supreme Court, 60 Centre Street, Financial, Manhattan.",1989,1980s,40.7830603,-73.9712488
585,True Believer (1989),"Roger's Apartment, 326 Bleecker Street and Christopher Street, Manhattan.",1989,1980s,40.7333734,-74.0043918
586,The Trouble with Bliss (2011),East 7th Street (btw 1st and 2nd Avenues) Manhattan.,2011,2010s,40.7830603,-73.9712488
587,The Trouble with Bliss (2011),St Marks Place (btw 1st Avenue and Avenue A) Manhattan.,2011,2010s,40.7260554,-73.9835429
588,The Trouble with Bliss (2011),"St Marks Place and 1st Avenue, Manhattan.",2011,2010s,40.7275967,-73.9852947
589,The Trouble with Bliss (2011),"Tompkins Square Park, East 7th Street and Avenue A, Manhattan.",2011,2010s,40.7260554,-73.9835429
590,The Trouble with Bliss (2011),"Andrea's Apartment, 346 East 13th Street (btw 1st & 2nd Avenues) Manhattan.",2011,2010s,40.7830603,-73.9712488
591,The Trouble with Bliss (2011),"TAJ Indian Cuisine, 310 East 6th Street (btw 1st & 2nd Avenues) Manhattan.",2011,2010s,40.7830603,-73.9712488
592,The Trouble with Bliss (2011),East 7th Street (btw 1st & 2nd Avenues) Manhattan.,2011,2010s,40.7830603,-73.9712488
593,The Trouble with Bliss (2011),"Hattie's Apartment, 346 East 13th Street (btw 1st & 2nd Avenues) Manhattan.",2011,2010s,40.7830603,-73.9712488
594,The Trouble with Bliss (2011),East 7th Street (btw 1st and 2nd Avenues) Manhattan.,2011,2010s,40.7830603,-73.9712488
595,Trick (1999),"West 4th Street and 7th Avenue, Manhattan.",1999,1990s,40.7337128,-74.0027627
596,Trick (1999),"Phone Booth, 7th Avenue South and West 4th Street, Manhattan.",1999,1990s,40.7336421,-74.0026047
597,Trick (1999),"7th Avenue and Christopher Street, Manhattan.",1999,1990s,40.7336089,-74.0028203
598,Trick (1999),"Subway, 7th Avenue and Christopher Street, Manhattan.",1999,1990s,40.7333734,-74.0043918
599,Trick (1999),"7th Avenue and Christopher Street, Manhattan.",1999,1990s,40.7336089,-74.0028203
600,Transformers: Revenge of the Fallen (2009),"Brooklyn Bridge, Lower East Side, Manhattan.",2009,2000s,40.7047531,-73.9953261
601,Transatlantic Coffee (2012),"Battery Park, Manhattan.",2012,2010s,40.7032775,-74.0170279
602,Transatlantic Coffee (2012),"Metropolitan Museum of Art, 1000 5th Avenue and East 82nd Street, Manhattan.",2012,2010s,40.7752992,-73.9536403
603,Trainwreck (2015),"Staten Island Ferry, New York Harbour.",2015,2010s,40.644189,-74.0725305
604,Trainwreck (2015),"Amy's Apartment, 319 Grand Street (Btw Orchard and Allen Streets) Manhattan.",2015,2010s,39.2040841,-96.5624648
605,Trainwreck (2015),"Amy's Workplace, 601 West 26th Street and 12th Avenue, Manhattan.",2015,2010s,40.7607442,-74.002077
606,Trainwreck (2015),"Barbuto Restaurant, 775 Washington Street and West 12th Street, Manhattan.",2015,2010s,40.7372245,-74.0006804
607,Trainwreck (2015),"The Mall, Central Park, Manhattan.",2015,2010s,40.7723522,-73.9715901
608,Trainwreck (2015),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",2015,2010s,40.7707563,-73.9569408
609,Trainwreck (2015),"Veselka Cafe, 144 2nd Avenue and East 9th Street, Manhattan.",2015,2010s,40.7282732,-73.9851029
610,Trainwreck (2015),"Madison Square Garden, 8th Avenue and West 33rd Street, Manhattan.",2015,2010s,40.7515107,-73.9939525
611,Trading Places (1983),Greenwich Street (btw Liberty Street and Fulton Street) Manhattan.,1983,1980s,40.7102288,-74.0077407
612,Trading Places (1983),"World Trade Center, Financial, Manhattan.",1983,1980s,40.7134088,-74.011926
613,Trading Places (1983),"Brooklyn Bridge Park Pier 2, Brooklyn.",1983,1980s,40.6995733,-73.9987964
614,Tracers (2015),Delancey Street (btw Eldridge Street and Forsyth Street) Manhattan.,2015,2010s,40.7188482,-73.9925927
615,Tracers (2015),Eldridge Street (btw Broome Street and Delancey Street) Manhattan.,2015,2010s,40.7176254,-73.9858255
616,Town and Country (2001),"Porter's Apartment, 1067 5th Avenue (btw East 87th and 88th Street) Manhattan.",2001,2000s,40.7791877,-73.9507958
617,Town and Country (2001),"BALTO Sled Dog Statue, Central Park (West 67th Street) Manhattan.",2001,2000s,40.7742367,-73.9811285
618,Town and Country (2001),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",2001,2000s,40.767812,-73.962014
619,Town and Country (2001),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",2001,2000s,40.7707563,-73.9569408
620,Town and Country (2001),"Queensboro Bridge, East 59th Street (btw Manhattan and Queens) New York.",2001,2000s,40.7282239,-73.7948516
621,Tower Heist (2011),"Josh's Apartment, 19 29th Street (btw Broadway and 31st Avenue) Queens.",2011,2010s,40.7580081,-73.8976923
622,Tower Heist (2011),29th Street (btw Broadway and 31st Avenue) Queens.,2011,2010s,40.7580081,-73.8976923
623,Tower Heist (2011),"Subway, (Near Columbus Circle) Broadway and West 60th Street, Manhattan.",2011,2010s,40.7710072,-73.9869855
624,Tower Heist (2011),"Trump International, 1 Central Park West and Columbus Circle, Manhattan.",2011,2010s,40.7680441,-73.9823722
625,Tower Heist (2011),"Columbus Circle and Central Park West, Manhattan.",2011,2010s,40.7682791,-73.9814387
626,Tower Heist (2011),"Neir’s Tavern, 8748 Woodhaven and 88th Avenue, New York.",2011,2010s,40.7070288,-73.8013515
627,Tower Heist (2011),"Toys R Us Store, 1514 Broadway and West 44th Street, Manhattan.",2011,2010s,40.7585406,-73.9888398
628,Tower Heist (2011),"New York County Supreme Court, 60 Centre Street, Financial, Manhattan.",2011,2010s,40.7830603,-73.9712488
629,Tootsie (1982),"Michael's Apartment, 15-17 West 18th Street and 5th Avenue, Manhattan.",1982,1980s,40.774734,-73.9653844
630,Tootsie (1982),"National Video Center, 460 West 42nd Street, Manhattan.",1982,1980s,40.7590307,-73.9945665
631,Tootsie (1982),"5th Avenue and East 59th Street, Manhattan.",1982,1980s,40.7642832,-73.9730166
632,Tootsie (1982),West 42nd Street (btw 9th and 10th Avenue) Manhattan.,1982,1980s,40.7545942,-73.999152
633,Titanic (1997),"Statue of Liberty, Liberty Island, New York Harbor.",1997,1990s,,
634,Tiny Furniture (2010),"619 East 5th Street and Avenue B, Manhattan.",2010,2010s,39.1852063,-96.5633351
635,Tiny Furniture (2010),"Plymouth Street and Main Street, Brooklyn.",2010,2010s,40.7038945,-73.9906462
636,Tiny Furniture (2010),"Little Street and Evans Street, Brooklyn.",2010,2010s,40.7030494,-73.9802805
637,Tiny Furniture (2010),"Aura's Apartment, 16 Desbrosses Street and Greenwich Street, Manhattan.",2010,2010s,40.7227909,-74.0096582
638,Time Out of Mind (2014),"Tompkins Square Park, East 8th Street and Avenue B, Manhattan.",2014,2010s,40.7256804,-73.9807682
639,Time Out of Mind (2014),"East Houston Street and Attorney Street, Manhattan.",2014,2010s,40.7212886,-73.982977
640,Time Out of Mind (2014),"Cosmo's Launderama, 142 1st Avenue and East 9th Street, Manhattan.",2014,2010s,40.7282732,-73.9851029
641,Time Out of Mind (2014),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2014,2010s,40.7779534,-73.9589565
642,Time Out of Mind (2014),"Bar, 317 East Houston Street and Attorney Street, Manhattan.",2014,2010s,40.718835,-73.984243
643,The Time Machine (2002),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",2002,2000s,40.7127837,-74.0059413
644,Three the Hard Way (1974),West 70th Street (btw Freedom Place and West End Avenue) Manhattan.,1974,1970s,40.7869408,-73.9792876
645,Three the Hard Way (1974),"315 West 70th Street and West End Avenue, Manhattan.",1974,1970s,40.7784789,-73.985454
646,Three the Hard Way (1974),"Brooklyn Bridge, Lower East Side, Manhattan.",1974,1970s,40.7047531,-73.9953261
647,Three Rooms in Manhattan (1965),West 47th Street (btw 8th and 9th Avenue) Manhattan.,1965,1960s,40.7692123,-73.9847724
648,Three Rooms in Manhattan (1965),"Hotel Sherman, 302 West 47th Street and 8th Avenue, Manhattan.",1965,1960s,40.8165192,-73.9465432
649,Three Rooms in Manhattan (1965),"Cadman Plaza West and Everit Street, Brooklyn.",1965,1960s,40.7025386,-73.9943496
650,Three Rooms in Manhattan (1965),"Near Cherry Hill, Central Park, Manhattan.",1965,1960s,40.7748462,-73.9727014
651,Three Rooms in Manhattan (1965),"Office, 1285 6th Avenue (btw West 51st and 52nd Streets) Manhattan.",1965,1960s,39.2614232,-96.7192351
652,Three of Hearts (1993),"Washington Square Gardens, Greenwich Village, Manhattan.",1993,1990s,40.7314658,-73.9970956
653,Three of Hearts (1993),"Washington Square Park North and 5th Avenue, Manhattan.",1993,1990s,40.7314123,-73.9969848
654,Three Men and a Little Lady (1990),28 West 76th Street (btw Central Park West and Columbus Avenue) Manhattan.,1990,1990s,40.7854736,-73.9729361
655,Three Men and a Little Lady (1990),"Loeb Boathouse, Central Park (East Side btw 74th and 75th Street) Manhattan.",1990,1990s,40.7707563,-73.9569408
656,Three Days of the Condor (1975),"CIA Centre, 55 East 77th Street and Madison Avenue, Manhattan.",1975,1970s,40.7773054,-73.9614006
657,Three Days of the Condor (1975),East 83rd Street (btw Park Avenue & Lexington Avenue) Manhattan.,1975,1970s,40.773008,-73.96032
658,Three Days of the Condor (1975),"Candy Shop, 1226 Lexington Avenue and East 83rd Street, Manhattan.",1975,1970s,40.7759634,-73.9533614
659,Three Days of the Condor (1975),"East 77th Street and Madison Avenue, Manhattan.",1975,1970s,40.7750168,-73.9630991
660,Three Days of the Condor (1975),"Phone Booth, East 76th Street and Madison Avenue, Manhattan.",1975,1970s,40.7773054,-73.9614006
661,Three Days of the Condor (1975),"Guggenheim Museum, 1071 5th Avenue and East 89th Street, Manhattan.",1975,1970s,40.7798082,-73.9503372
662,Three Days of the Condor (1975),"CIA Offices, World Trade Center, Financial, Manhattan.",1975,1970s,40.7830603,-73.9712488
663,Three Days of the Condor (1975),"Riverside Drive and West 122nd Street, Manhattan.",1975,1970s,40.8126394,-73.9630143
664,Three Days of the Condor (1975),"Alley (behind the Ansonia) West 73rd Street and Broadway, Manhattan.",1975,1970s,40.759011,-73.9844722
665,Three Days of the Condor (1975),Broadway (btw West 74th and 75th Streets) Manhattan.,1975,1970s,40.7707563,-73.9569408
666,Three Days of the Condor (1975),"Shop, 2150 Broadway and West 76th Street, Manhattan.",1975,1970s,40.7812025,-73.9797543
667,Three Days of the Condor (1975),"Brooklyn Bridge, Lower East Side, Manhattan.",1975,1970s,40.7047531,-73.9953261
668,Three Days of the Condor (1975),"Kathy Hale's Apartment, 9 Cranberry Street and Columbia Heights, Brooklyn.",1975,1970s,40.6996627,-73.9956868
669,Three Days of the Condor (1975),"Holiday Inn, 440 West 57th Street and 9th Avenue, Manhattan.",1975,1970s,40.7692123,-73.9847724
670,Three Days of the Condor (1975),"East River Lane, Wards Island, New York.",1975,1970s,,
671,Three Days of the Condor (1975),West 43rd Street (btw 7th and 8th Avenues) Manhattan.,1975,1970s,40.7830603,-73.9712488
672,A Thousand Clowns (1965),"Lincoln Center, Columbus Avenue (btw West 63rd & 64th Street) Manhattan.",1965,1960s,40.7646896,-73.9643068
673,A Thousand Clowns (1965),5th Avenue (btw East 40th and 42nd Street) Manhattan.,1965,1960s,40.758034,-73.9917031
674,A Thousand Clowns (1965),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",1965,1960s,40.767812,-73.962014
675,A Thousand Clowns (1965),"Staten Island Ferry, New York Harbour.",1965,1960s,40.644189,-74.0725305
676,A Thousand Clowns (1965),"Statue of Liberty, Liberty Island, New York Harbor.",1965,1960s,,
677,A Thousand Clowns (1965),"South Street Seaport, East River, Manhattan.",1965,1960s,40.7830603,-73.9712488
678,A Thousand Clowns (1965),Park Avenue (btw East 47th and 48th Street) Manhattan.,1965,1960s,40.761038,-73.987015
679,A Thousand Clowns (1965),"630, 5th Avenue (btw East 50th and 51st Street) Manhattan.",1965,1960s,40.762915,-73.985647
680,A Thousand Clowns (1965),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",1965,1960s,40.7697512,-73.9605925
681,A Thousand Clowns (1965),"Wall Street, Financial, Manhattan.",1965,1960s,40.7060006,-74.008801
682,This Is Where I Leave You (2014),Mercer Street (btw Howard Street and Grand Street) Manhattan.,2014,2010s,40.717664,-73.9922279
683,30 Beats (2012),"Zachary's Smile, 9 Greenwich Avenue and Christopher Street, Manhattan.",2012,2010s,40.7333734,-74.0043918
684,30 Beats (2012),"Robert G Salon, 23 Commerce Street and Bedford Street, Manhattan.",2012,2010s,40.7307284,-74.0044668
685,30 Beats (2012),"Greenwich Street and Perry Street, Manhattan.",2012,2010s,40.7349946,-74.0069935
686,30 Beats (2012),"404 West 20th Street and 9th Avenue, Manhattan.",2012,2010s,40.7446392,-74.0027306
687,30 Beats (2012),"Subway, East 77th Street and Lexington Avenue, Manhattan.",2012,2010s,40.773008,-73.96032
688,30 Beats (2012),"Lexington Avenue and East 77th Street, Manhattan.",2012,2010s,40.7736478,-73.959857
689,30 Beats (2012),"East 70th Street and Lexington Avenue, Manhattan.",2012,2010s,40.769113,-73.963161
690,30 Beats (2012),"164 East 64th Street and Lexington Avenue, Manhattan.",2012,2010s,40.765357,-73.9659
691,30 Beats (2012),"Belcourt, 84 East 4th Street and 2nd Avenue, Manhattan.",2012,2010s,40.7643734,-73.9616091
692,13 Going on 30 (2004),"Poise Magazine, 444 Madison Avenue and East 49th Street, Manhattan.",2004,2000s,40.755217,-73.971253
693,13 Going on 30 (2004),"Matt's Apartment, 305 West 4th Street and Bank Street, Manhattan.",2004,2000s,40.7365564,-74.0058348
694,13 Going on 30 (2004),"Jenna's Apartment, 51 5th Avenue and West 12th Street, Manhattan.",2004,2000s,40.7372245,-74.0006804
695,13 Going on 30 (2004),"Restaurant, 71 Greene Street and Spring Street, Manhattan.",2004,2000s,41.4304236,-87.9883293
696,13 Going on 30 (2004),"Times Square, Manhattan.",2004,2000s,40.759011,-73.9844722
697,13 Going on 30 (2004),"Conservatory Water, Central Park (72nd and 75th Street) Manhattan.",2004,2000s,40.7707563,-73.9569408
698,13 Going on 30 (2004),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",2004,2000s,40.767812,-73.962014
699,13 Going on 30 (2004),"New York Public Library, 455 West 5th Avenue, Manhattan.",2004,2000s,40.7518863,-73.9817055
700,13 Going on 30 (2004),"26 New Dock St, Brooklyn.",2004,2000s,40.7037973,-73.9933534
701,13 Going on 30 (2004),"MacDougal Street and West 3rd Street, Manhattan.",2004,2000s,40.7304449,-74.0001351
702,13 (2010),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2010,2010s,40.7779534,-73.9589565
703,The Thin Man Goes Home (1945),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",1945,1940s,40.7779534,-73.9589565
704,The Thief (1952),"Broadway and West 34th Street, Manhattan.",1952,1950s,40.7498844,-73.9879826
705,The Thief (1952),"Macy's Store, 151 West 34th Street (btw 6th and 7th Avenues) Manhattan.",1952,1950s,40.7830603,-73.9712488
706,The Thief (1952),"Times Square, Manhattan.",1952,1950s,40.759011,-73.9844722
707,The Thief (1952),"Pennsylvania Station, 7th Avenue and West 31st Street, Manhattan.",1952,1950s,40.7495244,-73.993016
708,The Thief (1952),"Central Park West and 72nd Street, Manhattan.",1952,1950s,40.7762315,-73.9759697
709,The Thief (1952),"Park Avenue and East 34th Street, Manhattan.",1952,1950s,40.7470385,-73.981255
710,The Thief (1952),"Empire State Building, 350 5th Avenue and West 34th Street, Manhattan.",1952,1950s,40.7484456,-73.9845633
711,The Thief (1952),"Floor 102, Empire State Building, 350 5th Avenue and West 34th Street, Manhattan.",1952,1950s,40.7484456,-73.9845633
712,The Thief (1952),"Wall Street and Broad Street, Manhattan.",1952,1950s,40.7071033,-74.010648
713,The Thief (1952),"Centre Street and Worth Street, Manhattan.",1952,1950s,40.7151705,-74.0021222
714,Then She Found Me (2007),East 78th Street (btw 2nd and 3rd Avenue) Manhattan.,2007,2000s,40.7684404,-73.9615733
715,Then She Found Me (2007),"Restaurant, 216 East 78th Street and 3rd Avenue, Manhattan.",2007,2000s,40.7684404,-73.9615733
716,They Might Be Giants (1971),"Washington Square Park North and 5th Avenue, Manhattan.",1971,1970s,40.7314123,-73.9969848
717,They Might Be Giants (1971),"Times Square, Manhattan.",1971,1970s,40.759011,-73.9844722
718,They Came Together (2014),"Knickerbocker Bar, 33 University Place and East 9th Street, Manhattan.",2014,2010s,40.7282732,-73.9851029
719,They Came Together (2014),"Subway, Broadway and West 79th Street, Manhattan.",2014,2010s,40.7838194,-73.9799099
720,They Came Together (2014),"Strand Book Store, 828 Broadway and East 12th Street, Manhattan.",2014,2010s,40.7300043,-73.9835255
721,They Came Together (2014),"Tazza, 72 Clark Street and Henry Street, Brooklyn.",2014,2010s,40.684816,-73.999081
722,They Came Together (2014),"7th Avenue and Garfield Place, Brooklyn.",2014,2010s,40.6723228,-73.9770623
723,They Came Together (2014),"Joel's Workplace, 815 2nd Avenue and East 44th Street, Manhattan.",2014,2010s,40.7526985,-73.9749987
724,They Came Together (2014),2nd Avenue (btw East 43rd and 44th Street) Manhattan.,2014,2010s,40.7585406,-73.9888398
725,They Came Together (2014),"201 West 71st Street and Broadway, Manhattan.",2014,2010s,40.7780337,-73.9823404
726,They Came Together (2014),"Park Way, Brooklyn Heights Promenade, Brooklyn.",2014,2010s,40.6965319,-73.9977917
727,They All Laughed (1981),"Manhattan Bridge, East River, Lower Manhattan.",1981,1980s,40.7205751,-73.9733626
728,They All Laughed (1981),"Downtown Manhattan Heliport, Pier 17, Manhattan.",1981,1980s,40.7830603,-73.9712488
729,They All Laughed (1981),"Public School 40, 320 East 20th Street (btw 1st & 2nd Avenues) Manhattan.",1981,1980s,40.7830603,-73.9712488
730,They All Laughed (1981),"2nd Avenue and East 20th Street, Manhattan.",1981,1980s,40.7359972,-73.9822652
731,They All Laughed (1981),"Music Box Theatre, 239 West 45th Street (btw 7th and 8th Avenue) Manhattan.",1981,1980s,40.8165192,-73.9465432
732,They All Laughed (1981),"Shubert Alley and West 45th Street, Manhattan.",1981,1980s,40.758453,-73.986713
733,They All Laughed (1981),"Algonquin Hotel, 59 West 44th Street and 6th Avenue, Manhattan.",1981,1980s,40.7428095,-73.992866
734,They All Laughed (1981),"Shoe Shop, 677 5th Avenue and East 53rd Street, Manhattan.",1981,1980s,40.757781,-73.9695726
735,They All Laughed (1981),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",1981,1980s,40.7828647,-73.9653551
736,They All Laughed (1981),5th Avenue (btw West 57th and 56th Streets) Manhattan.,1981,1980s,39.123218,-96.6713534
737,They All Laughed (1981),"Dolores's Brownstone, 40 West 12th Street (btw 5th & 6th Avenues) Manhattan.",1981,1980s,40.7830603,-73.9712488
738,They All Laughed (1981),West 12th Street (btw 5th & 6th Avenues) Manhattan.,1981,1980s,40.7830603,-73.9712488
739,They All Laughed (1981),"New York County Supreme Court, 60 Centre Street, Manhattan.",1981,1980s,40.7143245,-74.0014732
740,They All Laughed (1981),"Office, 120 South Street (btw Wall Street and Pine Street) Manhattan.",1981,1980s,45.8573817,-111.3230019
741,That Touch of Mink (1962),"New York Athletic Club, 180 Central Park South and 7th Avenue, Manhattan.",1962,1960s,40.73658,-74.0011456
742,That's What She Said (2012),"Subway, East 8th Street and Broadway, Manhattan.",2012,2010s,40.759011,-73.9844722
743,That's What She Said (2012),"Astor Place and Lafayette Street, Manhattan.",2012,2010s,40.72983,-73.9914232
744,That's What She Said (2012),"Milk & Roses, 1110 Manhattan Avenue and Clay Street, Brooklyn.",2012,2010s,41.7308937,-92.4442442
745,That's What She Said (2012),"9th Avenue and West 19th Street, Manhattan.",2012,2010s,40.7440493,-74.003174
746,That's What She Said (2012),"Pastel Spa & Nails, 193 2nd Avenue & East 12th Street, Manhattan.",2012,2010s,40.7300043,-73.9835255
747,That's What She Said (2012),"Amy's Hair Salon, 20 Pell Street and Doyers Street, Manhattan.",2012,2010s,40.7143527,-73.9979759
748,That's What She Said (2012),"Pell Street and Mott Street, Chinatown, Manhattan.",2012,2010s,40.714979,-73.9988685
749,That's What She Said (2012),"Eleven B Cafe, Avenue B and East 11th Street, Manhattan.",2012,2010s,40.7293534,-73.9840123
750,Three Men and a Baby (1987),"Cityspire Center, 150 West 56th Street (btw 7th & 6th Avenues) Manhattan.",1987,1980s,40.7830603,-73.9712488
751,Three Men and a Baby (1987),"Apartment (The Prasada) 50 Central Park West and West 65th street, Manhattan.",1987,1980s,40.7741641,-73.9848426
752,Three Men and a Baby (1987),"News Stand, Broadway (btw West 71st and 72nd Streets) Manhattan.",1987,1980s,40.7697512,-73.9605925
753,Three Men and a Baby (1987),"Phone Booth, Columbus Avenue and West 81st Street, Manhattan.",1987,1980s,40.7844744,-73.9773671
754,Three Men and a Baby (1987),"Broadway and West 64th Street, Manhattan.",1987,1980s,40.7721863,-73.9820878
755,Three Men and a Baby (1987),"(Near) Belvedere Castle, Central Park, Manhattan.",1987,1980s,40.7794302,-73.9690677
756,Three Men and a Baby (1987),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1987,1980s,40.7701235,-73.9574128
757,Three Men and a Baby (1987),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",1987,1980s,40.7707563,-73.9569408
758,Three Men and a Baby (1987),West 56th Street (btw 7th & 6th Avenues) Manhattan.,1987,1980s,40.7830603,-73.9712488
759,That Awkward Moment (2014),Gramercy Park (btw East 20th & 21st Streets) Manhattan.,2014,2010s,40.744009,-73.999422
760,That Awkward Moment (2014),"Irving Place and East 18th Street, Manhattan.",2014,2010s,40.7364484,-73.9869654
