,movie,location,year,year_group
679,A Thousand Clowns (1965),"630, 5th Avenue (btw East 50th and 51st Street) Manhattan.",1965,1960s
680,A Thousand Clowns (1965),"Bandshell, Central Park (from 66th to 72nd Street) Manhattan.",1965,1960s
681,A Thousand Clowns (1965),"Wall Street, Financial, Manhattan.",1965,1960s
682,This Is Where I Leave You (2014),Mercer Street (btw Howard Street and Grand Street) Manhattan.,2014,2010s
683,30 Beats (2012),"Zachary's Smile, 9 Greenwich Avenue and Christopher Street, Manhattan.",2012,2010s
684,30 Beats (2012),"Robert G Salon, 23 Commerce Street and Bedford Street, Manhattan.",2012,2010s
685,30 Beats (2012),"Greenwich Street and Perry Street, Manhattan.",2012,2010s
686,30 Beats (2012),"404 West 20th Street and 9th Avenue, Manhattan.",2012,2010s
687,30 Beats (2012),"Subway, East 77th Street and Lexington Avenue, Manhattan.",2012,2010s
688,30 Beats (2012),"Lexington Avenue and East 77th Street, Manhattan.",2012,2010s
689,30 Beats (2012),"East 70th Street and Lexington Avenue, Manhattan.",2012,2010s
690,30 Beats (2012),"164 East 64th Street and Lexington Avenue, Manhattan.",2012,2010s
691,30 Beats (2012),"Belcourt, 84 East 4th Street and 2nd Avenue, Manhattan.",2012,2010s
692,13 Going on 30 (2004),"Poise Magazine, 444 Madison Avenue and East 49th Street, Manhattan.",2004,2000s
693,13 Going on 30 (2004),"Matt's Apartment, 305 West 4th Street and Bank Street, Manhattan.",2004,2000s
694,13 Going on 30 (2004),"Jenna's Apartment, 51 5th Avenue and West 12th Street, Manhattan.",2004,2000s
695,13 Going on 30 (2004),"Restaurant, 71 Greene Street and Spring Street, Manhattan.",2004,2000s
696,13 Going on 30 (2004),"Times Square, Manhattan.",2004,2000s
697,13 Going on 30 (2004),"Conservatory Water, Central Park (72nd and 75th Street) Manhattan.",2004,2000s
698,13 Going on 30 (2004),"Sheep Meadow, Central Park (btw 66th and 69th Street) Manhattan.",2004,2000s
699,13 Going on 30 (2004),"New York Public Library, 455 West 5th Avenue, Manhattan.",2004,2000s
700,13 Going on 30 (2004),"26 New Dock St, Brooklyn.",2004,2000s
701,13 Going on 30 (2004),"MacDougal Street and West 3rd Street, Manhattan.",2004,2000s
702,13 (2010),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2010,2010s
703,The Thin Man Goes Home (1945),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",1945,1940s
704,The Thief (1952),"Broadway and West 34th Street, Manhattan.",1952,1950s
705,The Thief (1952),"Macy's Store, 151 West 34th Street (btw 6th and 7th Avenues) Manhattan.",1952,1950s
706,The Thief (1952),"Times Square, Manhattan.",1952,1950s
707,The Thief (1952),"Pennsylvania Station, 7th Avenue and West 31st Street, Manhattan.",1952,1950s
708,The Thief (1952),"Central Park West and 72nd Street, Manhattan.",1952,1950s
709,The Thief (1952),"Park Avenue and East 34th Street, Manhattan.",1952,1950s
710,The Thief (1952),"Empire State Building, 350 5th Avenue and West 34th Street, Manhattan.",1952,1950s
711,The Thief (1952),"Floor 102, Empire State Building, 350 5th Avenue and West 34th Street, Manhattan.",1952,1950s
712,The Thief (1952),"Wall Street and Broad Street, Manhattan.",1952,1950s
713,The Thief (1952),"Centre Street and Worth Street, Manhattan.",1952,1950s
714,Then She Found Me (2007),East 78th Street (btw 2nd and 3rd Avenue) Manhattan.,2007,2000s
715,Then She Found Me (2007),"Restaurant, 216 East 78th Street and 3rd Avenue, Manhattan.",2007,2000s
716,They Might Be Giants (1971),"Washington Square Park North and 5th Avenue, Manhattan.",1971,1970s
717,They Might Be Giants (1971),"Times Square, Manhattan.",1971,1970s
718,They Came Together (2014),"Knickerbocker Bar, 33 University Place and East 9th Street, Manhattan.",2014,2010s
719,They Came Together (2014),"Subway, Broadway and West 79th Street, Manhattan.",2014,2010s
720,They Came Together (2014),"Strand Book Store, 828 Broadway and East 12th Street, Manhattan.",2014,2010s
721,They Came Together (2014),"Tazza, 72 Clark Street and Henry Street, Brooklyn.",2014,2010s
722,They Came Together (2014),"7th Avenue and Garfield Place, Brooklyn.",2014,2010s
723,They Came Together (2014),"Joel's Workplace, 815 2nd Avenue and East 44th Street, Manhattan.",2014,2010s
724,They Came Together (2014),2nd Avenue (btw East 43rd and 44th Street) Manhattan.,2014,2010s
725,They Came Together (2014),"201 West 71st Street and Broadway, Manhattan.",2014,2010s
726,They Came Together (2014),"Park Way, Brooklyn Heights Promenade, Brooklyn.",2014,2010s
727,They All Laughed (1981),"Manhattan Bridge, East River, Lower Manhattan.",1981,1980s
728,They All Laughed (1981),"Downtown Manhattan Heliport, Pier 17, Manhattan.",1981,1980s
729,They All Laughed (1981),"Public School 40, 320 East 20th Street (btw 1st & 2nd Avenues) Manhattan.",1981,1980s
730,They All Laughed (1981),"2nd Avenue and East 20th Street, Manhattan.",1981,1980s
731,They All Laughed (1981),"Music Box Theatre, 239 West 45th Street (btw 7th and 8th Avenue) Manhattan.",1981,1980s
732,They All Laughed (1981),"Shubert Alley and West 45th Street, Manhattan.",1981,1980s
733,They All Laughed (1981),"Algonquin Hotel, 59 West 44th Street and 6th Avenue, Manhattan.",1981,1980s
734,They All Laughed (1981),"Shoe Shop, 677 5th Avenue and East 53rd Street, Manhattan.",1981,1980s
735,They All Laughed (1981),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",1981,1980s
736,They All Laughed (1981),5th Avenue (btw West 57th and 56th Streets) Manhattan.,1981,1980s
737,They All Laughed (1981),"Dolores's Brownstone, 40 West 12th Street (btw 5th & 6th Avenues) Manhattan.",1981,1980s
738,They All Laughed (1981),West 12th Street (btw 5th & 6th Avenues) Manhattan.,1981,1980s
739,They All Laughed (1981),"New York County Supreme Court, 60 Centre Street, Manhattan.",1981,1980s
740,They All Laughed (1981),"Office, 120 South Street (btw Wall Street and Pine Street) Manhattan.",1981,1980s
741,That Touch of Mink (1962),"New York Athletic Club, 180 Central Park South and 7th Avenue, Manhattan.",1962,1960s
742,That's What She Said (2012),"Subway, East 8th Street and Broadway, Manhattan.",2012,2010s
743,That's What She Said (2012),"Astor Place and Lafayette Street, Manhattan.",2012,2010s
744,That's What She Said (2012),"Milk & Roses, 1110 Manhattan Avenue and Clay Street, Brooklyn.",2012,2010s
745,That's What She Said (2012),"9th Avenue and West 19th Street, Manhattan.",2012,2010s
746,That's What She Said (2012),"Pastel Spa & Nails, 193 2nd Avenue & East 12th Street, Manhattan.",2012,2010s
747,That's What She Said (2012),"Amy's Hair Salon, 20 Pell Street and Doyers Street, Manhattan.",2012,2010s
748,That's What She Said (2012),"Pell Street and Mott Street, Chinatown, Manhattan.",2012,2010s
749,That's What She Said (2012),"Eleven B Cafe, Avenue B and East 11th Street, Manhattan.",2012,2010s
750,Three Men and a Baby (1987),"Cityspire Center, 150 West 56th Street (btw 7th & 6th Avenues) Manhattan.",1987,1980s
751,Three Men and a Baby (1987),"Apartment (The Prasada) 50 Central Park West and West 65th street, Manhattan.",1987,1980s
752,Three Men and a Baby (1987),"News Stand, Broadway (btw West 71st and 72nd Streets) Manhattan.",1987,1980s
753,Three Men and a Baby (1987),"Phone Booth, Columbus Avenue and West 81st Street, Manhattan.",1987,1980s
754,Three Men and a Baby (1987),"Broadway and West 64th Street, Manhattan.",1987,1980s
755,Three Men and a Baby (1987),"(Near) Belvedere Castle, Central Park, Manhattan.",1987,1980s
756,Three Men and a Baby (1987),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",1987,1980s
757,Three Men and a Baby (1987),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",1987,1980s
758,Three Men and a Baby (1987),West 56th Street (btw 7th & 6th Avenues) Manhattan.,1987,1980s
759,That Awkward Moment (2014),Gramercy Park (btw East 20th & 21st Streets) Manhattan.,2014,2010s
760,That Awkward Moment (2014),"Irving Place and East 18th Street, Manhattan.",2014,2010s
761,That Awkward Moment (2014),"Mott Street and Prince Street, Manhattan.",2014,2010s
762,That Awkward Moment (2014), Crosby Street (btw Prince Street & Spring Street) Manhattan.,2014,2010s
763,That Awkward Moment (2014),"Apartment, 240 Elizabeth Street and Prince Street, Manhattan.",2014,2010s
764,That Awkward Moment (2014),"Cafe Select, 212 Lafayette Street and Kenmare Street, Manhattan.",2014,2010s
765,That Awkward Moment (2014),"East 18th Street and Irving Place, Manhattan.",2014,2010s
766,That Awkward Moment (2014),"Le Baron NYC, 32 Mulberry Street and Mosco Street, Manhattan.",2014,2010s
767,That Awkward Moment (2014),East 18th Street (btw Irving Place and Park Avenue) Manhattan.,2014,2010s
768,That Awkward Moment (2014),"Gramercy Park West and East 20th Street, Manhattan.",2014,2010s
769,That Awkward Moment (2014),"4 Gramercy Park West and East 20th Street, Manhattan.",2014,2010s
770,That Awkward Moment (2014),262 Mott Street (btw East Houston Street & Prince Street) Manhattan.,2014,2010s
771,That Awkward Moment (2014),"Crosby Street and Prince Street, Manhattan.",2014,2010s
772,That Awkward Moment (2014),"Irving Farm, 88 Orchard Street and Broome Street, Manhattan.",2014,2010s
773,Thanks for Sharing (2012),"6th Avenue and West 26th Street, Manhattan.",2012,2010s
774,Thanks for Sharing (2012),"Kingswood, 121 West 10th Street and Greenwich Avenue, Manhattan.",2012,2010s
775,Thanks for Sharing (2012),"St. George's Church, 209 East 16th Street & Rutherford Place, Manhattan.",2012,2010s
776,Thanks for Sharing (2012),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2012,2010s
777,Thanks for Sharing (2012),"The Mall, Central Park, Manhattan.",2012,2010s
778,Thanks for Sharing (2012),"East 42nd Street and Madison Avenue, Manhattan.",2012,2010s
779,Thanks for Sharing (2012),"High Line Park, 519 West 23rd Street, Meatpacking District, Manhattan.",2012,2010s
780,Thanks for Sharing (2012),"West 42nd Street and 5th Avenue, Manhattan.",2012,2010s
781,Thanks for Sharing (2012),"Woodley & Bunny Salon, 196 North 10th Street and Driggs Avenue, Brooklyn.",2012,2010s
782,Thanks for Sharing (2012),"Amsterdam Avenue and West 105th Street, Manhattan.",2012,2010s
783,Thanks for Sharing (2012),"Lido Bar, 2168 Frederick Douglass Blvd & West 117th Street, Harlem.",2012,2010s
784,Thanks for Sharing (2012),Broadway (btw East 21st and 22nd Street) Manhattan.,2012,2010s
785,Thanks for Sharing (2012),"Shop, 385 8th Avenue and West 29th Street, Manhattan.",2012,2010s
786,Thanks for Sharing (2012),"Greenwich Avenue and Charles Street, Manhattan.",2012,2010s
787,Thanks for Sharing (2012),"Greenwich Avenue and West 10th Street, Manhattan.",2012,2010s
788,Thanks for Sharing (2012),West 10th Street (btw Greenwich & 6th Avenues) Manhattan.,2012,2010s
789,The Thomas Crown Affair (1999),"Metropolitan Museum of Art, 1000 5th Avenue and East 82nd Street, Manhattan.",1999,1990s
790,The Thomas Crown Affair (1999),"Crown Townhouse, 18 East 68th Street and 5th Avenue, Manhattan.",1999,1990s
791,The Thomas Crown Affair (1999),"Crown Office, Front Street and Old Ship, Financial, Manhattan.",1999,1990s
792,The Thomas Crown Affair (1999),"Sherry Netherland Hotel, 781 5th Avenue and East 59th Street, Manhattan.",1999,1990s
793,The Thomas Crown Affair (1999),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",1999,1990s
794,The Thomas Crown Affair (1999),"Downtown Manhattan Heliport, Pier 17, Manhattan.",1999,1990s
795,The Terminal (2004),"(JFK Airport) Mirabel International Airport, Montréal, Québec, Canada.",2004,2000s
796,The 10th Victim (1965),"Federal Hall, Wall Street, Manhattan.",1965,1960s
797,The 10th Victim (1965),"Wall Street and Broad Street, Manhattan.",1965,1960s
798,10 Rules for Sleeping Around (2013),"Restaurant, 151 West 34th Street and 8th Avenue, Manhattan.",2013,2010s
799,10 Rules for Sleeping Around (2013),"Back Fence, 155 Bleecker Street and Thompson Street, Manhattan.",2013,2010s
800,10 Rules for Sleeping Around (2013),"Spring Street and Broadway, Manhattan.",2013,2010s
801,Teenage Mutant Ninja Turtles (2014),"Navy Yard Basin, Brooklyn, New York.",2014,2010s
802,Teenage Mutant Ninja Turtles (2014),5th Avenue (btw East 24th & 25th Streets) Manhattan.,2014,2010s
803,Teenage Mutant Ninja Turtles (2014),"Battery Park, Manhattan.",2014,2010s
804,Teenage Mutant Ninja Turtles (2014),"Subway, Broad Street and Wall Street, Manhattan.",2014,2010s
805,Teenage Mutant Ninja Turtles (2014),"Times Square, Manhattan.",2014,2010s
806,Teenage Mutant Ninja Turtles (1990),"Columbus Circle and Central Park West, Manhattan.",1990,1990s
807,Teenage Mutant Ninja Turtles (1990),"Central Park West and Columbus Circle, Manhattan.",1990,1990s
808,Teenage Mutant Ninja Turtles (1990),"New York County Supreme Court, 60 Centre Street, Financial, Manhattan.",1990,1990s
809,Teenage Mutant Ninja Turtles (1990),"Bleecker Street and Mulberry Street, Manhattan.",1990,1990s
810,Taxi Driver (1976),West 57th Street (btw 11th and 12th Avenues) Manhattan.,1976,1970s
811,Taxi Driver (1976),"Times Square, Manhattan.",1976,1970s
812,Taxi Driver (1976),"8th Avenue and West 47th Street, Manhattan.",1976,1970s
813,Taxi Driver (1976),"737 8th Avenue and West 47th Street, Manhattan.",1976,1970s
814,Taxi Driver (1976),"Charles Palantine HQ, Broadway and West 63rd Street, Manhattan.",1976,1970s
815,Taxi Driver (1976),"Hotel Olcott, 27 West 72nd Street and Central Park West, Manhattan.",1976,1970s
816,Taxi Driver (1976),"Coffee Shop, 8th Avenue and West 58th Street, Manhattan.",1976,1970s
817,Taxi Driver (1976),"3rd Avenue and East 13th Street, Manhattan.",1976,1970s
818,Taxi Driver (1976),"Broadway and West 45th Street, Manhattan.",1976,1970s
819,Taxi Driver (1976),"Theatre, 213 West 42nd Street and 7th Avenue, Manhattan.",1976,1970s
820,Taxi Driver (1976),"5th Avenue and West 19th Street, Manhattan.",1976,1970s
821,Taxi Driver (1976),"West 38th Street and 7th Avenue, Manhattan.",1976,1970s
822,Taxi Driver (1976),"3rd Avenue and East 13th Street, Manhattan.",1976,1970s
823,Taxi Driver (1976),"East 13th Street and 3rd Avenue, Manhattan.",1976,1970s
824,Taxi Driver (1976),204 East 13th Street (btw 2nd and 3rd Avenue) Manhattan.,1976,1970s
825,Taxi Driver (1976),226 East 13th Street (btw 2nd and 3rd Avenue) Manhattan.,1976,1970s
826,Taxi Driver (1976),"Central Park West and Columbus Circle, Manhattan.",1976,1970s
827,Taxi Driver (1976),"The St. Regis Hotel, 2 East 55th Street and 5th Avenue, Manhattan.",1976,1970s
828,Taxi (2004),"Belle's Apartment, South 6th Street and Berry Street, Brooklyn.",2004,2000s
829,Taxi (2004),"Times Square, Manhattan.",2004,2000s
830,Taxi (2004),"West 37th Street and 6th Avenue, Manhattan.",2004,2000s
831,Taxi (2004),"Deli, Avenue B and East 3rd Street, Manhattan.",2004,2000s
832,Taxi (2004),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2004,2000s
833,Taxi (2004),"Bank, Madison Avenue (btw East 24th and 25th Street) Manhattan.",2004,2000s
834,Taxi (2004),"Father Demo Square, Bleecker Street and 6th Avenue, Manhattan.",2004,2000s
835,Taxi (2004),"TWA Terminal, JFK International Airport, Jamaica, Queens.",2004,2000s
836,Tart (2001),"Park Avenue and East 84th Street, Manhattan.",2001,2000s
837,Tart (2001),"Park Avenue and East 81st Street, Manhattan.",2001,2000s
838,Tart (2001),"Milford Apartment, 930 Park Avenue and East 81st Street, Manhattan.",2001,2000s
839,Tart (2001),Conservatory Water Central Park (from 72nd to 75th Street) Manhattan.,2001,2000s
840,Tart (2001),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",2001,2000s
841,Tart (2001),"The Plaza Hotel, 750 5th Avenue and Central Park South, Manhattan.",2001,2000s
842,Tart (2001),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2001,2000s
843,Ta Ra Rum Pum (2007),"Times Square, Manhattan.",2007,2000s
844,Ta Ra Rum Pum (2007),"Brooklyn Bridge, Lower East Side, Manhattan.",2007,2000s
845,Ta Ra Rum Pum (2007),"New York Public Library, 5th Avenue (btw 40th and 42nd Street) Manhattan.",2007,2000s
846,Tales of Manhattan (1942),"5th Avenue and East 60th Street, Manhattan.",1942,1940s
847,The Talented Mr. Ripley (1999),"225 Central Park West and West 82nd Street, Manhattan.",1999,1990s
848,The Talented Mr. Ripley (1999),"Lyceum Theatre, 149 West 45th Street (btw 6th and 7th Avenue) Manhattan.",1999,1990s
849,The Talented Mr. Ripley (1999),"Tom Ripley's Apartment, Franklin Place and White Street, Manhattan.",1999,1990s
850,The Taking of Pelham 1 2 3 (2009),"Grand Central Terminal, 89 East 42nd Street and Vanderbilt Avenue, Manhattan.",2009,2000s
851,The Taking of Pelham 1 2 3 (2009),"Waldorf-Astoria Hotel, 301 Park Avenue (btw East 49th & 50th Street) Manhattan.",2009,2000s
852,The Taking of Pelham 1 2 3 (2009),"Park Avenue, Manhattan.",2009,2000s
853,The Taking of Pelham 1 2 3 (2009),"Manhattan Bridge, East River, Lower Manhattan.",2009,2000s
854,The Taking of Pelham One Two Three (1974),"Subway, Lexington Avenue and East 59th Street, Manhattan.",1974,1970s
855,The Taking of Pelham One Two Three (1974),"Gracie Mansion, East End Avenue and 88th Street, Manhattan.",1974,1970s
856,The Taking of Pelham One Two Three (1974),"Centre Street and Chambers Street, Manhattan.",1974,1970s
857,The Taking of Pelham One Two Three (1974),"Park Avenue and East 28th Street, Manhattan.",1974,1970s
858,The Taking of Pelham One Two Three (1974),"Astor Place and Lafayette Street, Manhattan.",1974,1970s
859,The Taking of Pelham One Two Three (1974),"Court Street Station, Brooklyn.",1974,1970s
860,The Taking of Pelham One Two Three (1974),Union Square East (btw East 15th and 16th Street) Manhattan.,1974,1970s
861,Tadpole (2000),"East 42nd Street and Vanderbilt Avenue, Manhattan.",2000,2000s
862,Tadpole (2000),"Broadway and West 73rd Street, Manhattan.",2000,2000s
863,Tadpole (2000),"Bow Bridge (Mid-Park at 74th Street) Central Park, Manhattan.",2000,2000s
864,Tadpole (2000),"Bethesda Terrace (Mid-Park at 72nd Street) Central Park, Manhattan.",2000,2000s
865,Tadpole (2000),"Payard Bisto, 1032 Lexington Avenue and East 74th Street, Manhattan.",2000,2000s
866,Tadpole (2000),"Alice in Wonderland, Central Park (East 74th Street) Manhattan.",2000,2000s
867,Tadpole (2000),"Eve's Apartment, 450 West End Avenue and West 82nd Street, Manhattan.",2000,2000s
868,Tadpole (2000),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2000,2000s
869,"Synecdoche, New York (2008)","Plymouth Street and Bridge Street, Brooklyn.",2008,2000s
870,The Switch (2010),"8th Avenue and Horatio Street, Manhattan.",2010,2010s
871,The Switch (2010),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",2010,2010s
872,The Switch (2010),"Barbuto Restaurant, 775 Washington Street and West 12th Street, Manhattan.",2010,2010s
873,The Switch (2010),"Laura Pels Theatre, 111 West 46th Street and 6th Avenue, Manhattan.",2010,2010s
874,The Switch (2010),"West 14th Street and 9th Avenue, Manhattan.",2010,2010s
875,The Switch (2010),"Apple Store, West 14th Street and 9th Avenue, Manhattan.",2010,2010s
876,The Switch (2010),"Cafe Cluny, 284 West 12th Street and West 4th Street, Manhattan.",2010,2010s
877,The Switch (2010),"Central Park Zoo, Manhattan.",2010,2010s
878,The Switch (2010),"Riverside Drive and West 92nd Street, Manhattan.",2010,2010s
879,The Switch (2010),"Kassie's Apartment, 194 Riverside Drive and West 92nd Street, Manhattan.",2010,2010s
880,The Switch (2010),"Equinox Gym, Murray Street and Church Street, Manhattan.",2010,2010s
881,The Switch (2010),"Sweetwater Tavern, 105 North 6th Street and Berry Street, Brooklyn.",2010,2010s
882,The Switch (2010),Park Avenue (btw East 49th Street and 50th Street) Manhattan.,2010,2010s
883,The Switch (2010),"Remsen Street & Montague Terrace, Brooklyn Heights, Brooklyn.",2010,2010s
884,Switch (1991),"Bloomingdale's, 1000 3rd Avenue and East 59th Street, Manhattan.",1991,1990s
885,Switch (1991),"Conservatory Water Central Park, (from 72nd to 75th Street) Manhattan.",1991,1990s
886,Switch (1991),"Sardi's Restaurant, 234 West 44th Street and 7th Avenue, Manhattan.",1991,1990s
887,Swimfan (2002),"Diner, 225 Wythe Avenue and North 3rd Street, Brooklyn.",2002,2000s
888,Sweet November (1968),"State Office Building, 141 Worth Street and Centre Street, Manhattan.",1968,1960s
889,Sweet November (1968),"City Hall Park (btw Broadway, Park Row, and Chambers Street) Manhattan.",1968,1960s
890,Sweet November (1968),East River (btw Brooklyn Bridge and Manhattan Bridge).,1968,1960s
891,Sweet November (1968),"Brooklyn Bridge, Lower East Side, Manhattan.",1968,1960s
892,Sweet November (1968),"Brooklyn Heights, Brooklyn.",1968,1960s
893,Sweet November (1968),"43 Pierrepont Street & Hicks Street, Brooklyn Heights, Brooklyn.",1968,1960s
894,Sweet November (1968),"Montague Street and Henry Street, Brooklyn.",1968,1960s
895,Sweet November (1968),"Shop, 130 Montague Street and Henry Street, Brooklyn.",1968,1960s
896,Sweet Smell of Success (1957),"Hunsecker's Apartment, 1619 Broadway and West 49th Street, Manhattan.",1957,1950s
897,Sweet Smell of Success (1957),"21 Club, 21 West 52nd Street (btw 5th and 6th Avenue) Manhattan.",1957,1950s
898,Sweet Smell of Success (1957),"Toots Shor Restaurant, 51 West 51st Street, Manhattan.",1957,1950s
899,Sweet Smell of Success (1957),"5th Avenue and West 23rd Street, Manhattan.",1957,1950s
900,Sweet Smell of Success (1957),"The New York Globe Offices, 200 5th Avenue and Broadway, Manhattan.",1957,1950s
901,Sweet Smell of Success (1957),"Times Square, Manhattan.",1957,1950s
902,Sweet Home Alabama (2002),209 Elizabeth Street (btw Spring Street and Prince Street) Manhattan.,2002,2000s
903,Sweet Home Alabama (2002),Prince Street (btw Elizabeth Street and Mott Street) Manhattan.,2002,2000s
904,Sweet Home Alabama (2002),"Washington Square Gardens, Greenwich Village, Manhattan.",2002,2000s
905,Sweet Home Alabama (2002),"Tiffany & Co Store, 727 5th Avenue and East 57th Street, Manhattan.",2002,2000s
906,Sweet Home Alabama (2002),"Lincoln Center, Columbus Avenue (btw West 63rd and 64th Street) Manhattan.",2002,2000s
907,Sweet Charity (1969),"Charity's Apartment, 317 West 46th Street and 8th Avenue, Manhattan.",1969,1960s
908,Sweet Charity (1969),Central Park (South-End Corner) Manhattan.,1969,1960s
909,Sweet Charity (1969),"Gapstow Bridge, Central Park, Manhattan.",1969,1960s
910,Sweet Charity (1969),"Bethesda Fountain, (Mid-Park at 72nd Street) Central Park, Manhattan.",1969,1960s
911,Sweet Charity (1969),"Top of the Rock, 45 Rockefeller Plaza, Manhattan.",1969,1960s
912,Sweet Charity (1969),"Yankee Stadium, East 161st Street and River Avenue, Bronx.",1969,1960s
913,Sweet Charity (1969),"Lincoln Center, Columbus Avenue (btw West 63rd & 64th Street) Manhattan.",1969,1960s
914,Sweet Charity (1969),"Wall Street and Nassau Street, Manhattan.",1969,1960s
915,Sweet Charity (1969),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",1969,1960s
916,Survivor (2015),"Montreal, Quebec, Canada.",2015,2010s
917,Superman 2 (1980),"Daily Planet, The News Building, 42nd Street (btw 2nd & 3rd Avenue) Manhattan.",1980,1980s
918,Superman 2 (1980),"Statue of Liberty, Liberty Island, New York Harbor.",1980,1980s
919,Superman 2 (1980),"Empire State Building, 350 5th Avenue and West 34th Street, Manhattan.",1980,1980s
920,Superman (1978),"Daily Planet Lobby, 220 East 42nd Street and 2nd Avenue, Manhattan.",1978,1970s
921,Superman (1978),"Daily Planet, 220 East 42nd Street (btw 2nd and 3rd Avenue) Manhattan.",1978,1970s
922,Superman (1978),"Grand Central Terminal, 89 East 42nd Street and Park Avenue, Manhattan.",1978,1970s
923,Superman (1978),9 West 57th Street (btw 5th and 6th Avenues) Manhattan.,1978,1970s
924,Super Fly (1972),"Mister B's, 2297 7th Avenue and West 135th Street, Harlem.",1972,1970s
925,The Super Cops (1974),Montague Street (btw Hicks Street and Henry Street) Brooklyn.,1974,1970s
926,The Super Cops (1974),"The Montague, Montague Street (btw Hicks Street and Henry Street) Brooklyn.",1974,1970s
927,The Super Cops (1974),"Hicks Street and Montague Street, Brooklyn.",1974,1970s
928,The Super Cops (1974),"Wonder Wheel, Coney Island, New York.",1974,1970s
929,The Super Cops (1974),"Chambers Street and Centre Street, Manhattan.",1974,1970s
930,The Super (1991),East 11th Street (btw Avenue A and Avenue B) Manhattan.,1991,1990s
931,The Super (1991),533 East 11th Street (btw Avenue A and Avenue B) Manhattan.,1991,1990s
932,Sunday in New York (1963),"Vanderbilt Avenue and East 43rd Street, Manhattan.",1963,1960s
933,Sunday in New York (1963),5th Avenue (btw East 65th and 66th Streets) Manhattan.,1963,1960s
934,Sunday in New York (1963),"Rockefeller Center, 5th Avenue (btw 49th and 50th Streets) Manhattan.",1963,1960s
935,Sunday in New York (1963),"Rockefeller Center, 5th Avenue (btw 49th and 50th Streets) Manhattan.",1963,1960s
936,Sunday in New York (1963),"Restaurant (Ice Rink) Rockefeller Plaza, Manhattan.",1963,1960s
937,Sunday in New York (1963),"Boating Lake, Central Park, Manhattan.",1963,1960s
938,Sunday in New York (1963),"Central Park South and Grand Army Plaza, Manhattan.",1963,1960s
939,Summer of Sam (1999),"Studio 54, 254 West 54th Street and 8th Avenue, Manhattan.",1999,1990s
940,Sugar Hill (1993),"Roemello's Apartment, 440 Riverside Drive and West 116th Street, Manhattan.",1993,1990s
941,Suburban Girl (2007),"New York Historical Society, 170 Central Park West and 77th Street, Manhattan.",2007,2000s
942,Suburban Girl (2007),"Archie Knox's Townhouse, 159 East 61st Street and Lexington Avenue, Manhattan.",2007,2000s
943,Suburban Girl (2007),"Breet Eisenberg's Apartment, 404 Riverside Drive and West 113th Street, Manhattan.",2007,2000s
944,Suburban Girl (2007),"Bergdorf Goodman Store, 754 5th Avenue and West 58th Street, Manhattan.",2007,2000s
945,Suburban Girl (2007),"Biography Bookshop, 400 Bleecker Street and West 11th Street, Manhattan.",2007,2000s
946,Suburban Girl (2007),"Cinema Village, 22 East 12th Street and 5th Avenue, Manhattan.",2007,2000s
947,Suburban Girl (2007),"5th Avenue and Central Park, Manhattan.",2007,2000s
948,St. Vincent (2014),"City Hall Park, Broadway and Park Row South, Manhattan.",2014,2010s
949,Stuart Little 2 (2002),"The Mall, Central Park, Manhattan.",2002,2000s
950,Stuart Little 2 (2002),"Bethesda Terrace, (Mid-Park at 72nd Street) Central Park, Manhattan.",2002,2000s
951,Stuart Little (1999),"Brooklyn Bridge, Lower East Side, Manhattan.",1999,1990s
952,Stuart Little (1999),"Times Square, Manhattan.",1999,1990s
953,Striking Distance (1993),"Allegheny County Courthouse, Pittsburgh, Pennsylvania.",1993,1990s
954,Strictly Business (1991),"Brooklyn Heights, Brooklyn.",1991,1990s
955,Strictly Business (1991),"The DownTown Club, 20 West Street and Morris Street, Manhattan.",1991,1990s
956,Strictly Business (1991),"Natalie's Apartment, 220 Plymouth Street and Bridge Street, Brooklyn.",1991,1990s
957,Strictly Business (1991),"Waymon's Workplace, 3 Park Avenue and East 34th Street, Manhattan.",1991,1990s
958,Strangers on a Train (1951),"Pennsylvania Station, 8th Avenue and West 34th Street, Manhattan.",1951,1950s
959,Strange Invaders (1983),"Columbia University, Broadway and West 116th Street, Manhattan.",1983,1980s
960,Strange Invaders (1983),"404 Riverside Drive and West 113th Street, Manhattan.",1983,1980s
961,Strange Invaders (1983),"8 East 63rd Street and 5th Avenue, Manhattan.",1983,1980s
962,Strange Invaders (1983),"Times Square, Manhattan.",1983,1980s
963,Strange Invaders (1983),"West 116th Street and Riverside Drive, Manhattan.",1983,1980s
